train_step,train_loss,train_error,val_loss,val_error
1,0.685111939907074,0.375,0.7591861635446548,0.6599999999999999
2,0.6363045573234558,0.25,1.3344102799892426,0.6599999999999999
3,0.7522510290145874,0.3125,0.9381328225135803,0.6599999999999999
4,0.7493364810943604,0.4375,0.7297998070716858,0.6599999999999999
5,0.6510715484619141,0.3125,0.7399982511997223,0.6599999999999999
6,0.6507821083068848,0.3125,0.7929206341505051,0.6599999999999999
7,0.6636911630630493,0.375,0.84541155397892,0.6599999999999999
8,0.5937751531600952,0.3125,0.9670175611972809,0.6599999999999999
9,0.6714400053024292,0.3125,0.9593832492828369,0.6599999999999999
10,0.668380856513977,0.3125,0.8947509527206421,0.6599999999999999
11,0.635771632194519,0.3125,0.8261205404996872,0.6599999999999999
12,0.7872753143310547,0.5625,0.736232578754425,0.6599999999999999
13,0.651570200920105,0.3125,0.7246127873659134,0.6599999999999999
14,0.5878990888595581,0.0,0.7811838239431381,0.6599999999999999
15,0.660094678401947,0.375,0.8533881157636642,0.6599999999999999
16,0.6172868013381958,0.25,0.9417247772216797,0.6599999999999999
17,0.6361338496208191,0.3125,0.97250996530056,0.6599999999999999
18,0.7544821500778198,0.4375,0.9125324785709381,0.6599999999999999
19,0.5906672477722168,0.3125,0.8569329380989075,0.6599999999999999
20,0.6218655109405518,0.3125,0.814108595252037,0.6599999999999999
21,0.6588205695152283,0.375,0.7757632583379745,0.6599999999999999
22,0.6181272268295288,0.3125,0.806608721613884,0.6599999999999999
23,0.638333797454834,0.3125,0.8419400602579117,0.6599999999999999
24,0.645571231842041,0.3125,0.8567162603139877,0.6599999999999999
25,0.6314425468444824,0.3125,0.8524638116359711,0.6599999999999999
26,0.8183517456054688,0.5625,0.7656285166740417,0.6599999999999999
27,0.6228743195533752,0.3125,0.7360330373048782,0.6599999999999999
28,0.533502459526062,0.0,0.7783487141132355,0.6599999999999999
29,0.6445135474205017,0.375,0.8271236419677734,0.6599999999999999
30,0.5988003015518188,0.25,0.8885434865951538,0.6599999999999999
31,0.6254922151565552,0.3125,0.9409030824899673,0.6599999999999999
32,0.7247256636619568,0.4375,0.929431140422821,0.6599999999999999
33,0.578851580619812,0.3125,0.9180269092321396,0.6599999999999999
34,0.6142198443412781,0.3125,0.8963002264499664,0.6599999999999999
35,0.664235532283783,0.375,0.86125747859478,0.6599999999999999
36,0.5918243527412415,0.3125,0.8511544615030289,0.6599999999999999
37,0.6320940256118774,0.3125,0.8321412205696106,0.6599999999999999
38,0.6351563930511475,0.3125,0.8103275895118713,0.6599999999999999
39,0.6258494853973389,0.3125,0.7916596531867981,0.6599999999999999
40,0.7697151899337769,0.5625,0.743602991104126,0.6599999999999999
41,0.6122402548789978,0.3125,0.7202869057655334,0.6599999999999999
42,0.5120529532432556,0.0,0.7581185549497604,0.6599999999999999
43,0.6226340532302856,0.375,0.8098607361316681,0.6599999999999999
44,0.5743626952171326,0.25,0.8853457421064377,0.6599999999999999
45,0.615545392036438,0.3125,0.9508024156093597,0.6599999999999999
46,0.6924227476119995,0.4375,0.9346173256635666,0.6599999999999999
47,0.5516842007637024,0.3125,0.9144672006368637,0.6599999999999999
48,0.5947821140289307,0.3125,0.8830995857715607,0.6599999999999999
49,0.6508400440216064,0.375,0.8252920061349869,0.6599999999999999
50,0.6051093339920044,0.3125,0.7965389788150787,0.6599999999999999
51,0.6038750410079956,0.3125,0.772040069103241,0.6599999999999999
52,0.6033268570899963,0.3125,0.7528809905052185,0.6599999999999999
53,0.616838276386261,0.3125,0.7466626763343811,0.6599999999999999
54,0.734773576259613,0.5625,0.7215299010276794,0.6599999999999999
55,0.5939447283744812,0.3125,0.7076980322599411,0.6599999999999999
56,0.48207998275756836,0.0,0.7427336424589157,0.6599999999999999
57,0.5803824067115784,0.375,0.8077448606491089,0.6599999999999999
58,0.5344406962394714,0.25,0.9326475411653519,0.6599999999999999
59,0.6166813373565674,0.3125,1.0085868537425995,0.6599999999999999
60,0.6725593209266663,0.4375,0.9370578974485397,0.6599999999999999
61,0.5163719058036804,0.3125,0.8631280660629272,0.6599999999999999
62,0.561890721321106,0.3125,0.7830315679311752,0.6599999999999999
63,0.6023185849189758,0.375,0.7079751342535019,0.6599999999999999
64,0.6516309380531311,0.3125,0.6947725713253021,0.6599999999999999
65,0.5799741744995117,0.3125,0.6961468458175659,0.6599999999999999
66,0.5587007403373718,0.3125,0.698184996843338,0.6599999999999999
67,0.5941575169563293,0.3125,0.714436337351799,0.6599999999999999
68,0.7360578179359436,0.5625,0.6940315961837769,0.6599999999999999
69,0.5446681380271912,0.3125,0.6879289150238037,0.6599999999999999
70,0.2839088439941406,0.0,0.7753534913063049,0.6599999999999999
71,0.540848433971405,0.375,0.8756312876939774,0.6599999999999999
72,0.4880518913269043,0.25,0.9288023263216019,0.6599999999999999
73,0.6113102436065674,0.3125,0.8663652688264847,0.6599999999999999
74,0.5611127614974976,0.4375,0.7265005260705948,0.6599999999999999
